iter	RMSE
170	14927.84493
171	14922.97459
172	14904.10344
173	14884.89724
174	14869.74292
175	14861.75404
176	14852.53716
177	14822.82168
178	14797.26392
179	14780.15277
180	14776.8386
181	14770.59271
182	14752.57539
183	14734.57697
184	14718.08557
185	14708.54425
186	14690.96401
187	14684.48957
188	14681.84659
189	14662.98558
190	14647.20581
191	14640.44819
192	14624.29618
193	14612.16502
194	14609.41847
195	14598.89941
196	14581.23537
197	14564.40181
198	14548.17053
199	14533.90307
200	14512.40183
201	14496.79129
202	14485.0507
203	14478.53166
204	14462.09068
205	14450.16697
206	14432.95707
207	14426.81025
208	14421.61306
209	14404.91362
210	14391.09207
211	14373.1609
212	14371.26856
213	14346.83859
214	14339.84123
215	14325.36085
216	14305.85766
217	14291.19264
218	14281.06448
219	14274.17884
220	14250.86401
221	14243.9599
222	14236.76325
223	14229.93498
224	14227.11033
225	14215.80855
226	14208.05575
227	14200.57015
228	14189.07914
229	14176.15723
230	14165.98865
231	14152.02653
232	14136.67216
233	14122.78105
234	14105.87336
235	14089.20394
236	14080.09708
237	14075.44521
238	14062.77179
239	14058.2004
240	14044.46464
241	14038.6103
242	14030.54327
243	14014.46195
244	14006.1287
245	13997.02899
246	13987.25444
247	13976.12924
248	13971.09001
249	13958.02759
250	13949.37172
251	13928.46293
252	13920.51859
253	13906.09854
254	13891.82947
255	13883.83227
256	13874.90967
257	13862.98622
258	13857.62916
259	13849.07082
260	13839.92932
261	13834.2699
262	13827.32033
263	13816.66838
264	13810.58247
265	13809.93784
266	13808.85074
267	13796.84641
268	13782.07487
269	13777.99307
270	13775.74595
271	13766.54181
272	13764.74632
273	13751.40116
274	13742.96897
275	13736.31493
276	13726.57318
277	13714.65938
278	13707.92655
279	13698.24977
280	13691.79665
281	13683.97076
282	13676.09166
283	13664.85279
284	13656.01045
285	13650.57597
286	13645.07108
287	13637.76273
288	13624.55421
289	13618.82322
290	13607.38979
291	13601.62691
292	13591.99948
293	13582.26576
294	13571.54137
295	13552.83582
296	13546.04095
297	13540.19409
298	13527.46287
299	13521.90292
300	13515.80136
301	13508.59249
302	13498.45316
303	13497.04539
304	13488.261
305	13479.23448
306	13468.81955
307	13463.80593
308	13446.33413
309	13437.58551
310	13417.84942
311	13411.37898
312	13408.13106
313	13400.34691
314	13394.321
315	13389.89653
316	13384.41595
317	13371.7038
318	13364.90506
319	13351.01989
320	13346.15764
321	13334.86568
322	13329.33752
323	13323.5823
324	13315.94101
325	13311.45721
326	13295.25086
327	13288.64289
328	13283.48271
329	13271.1113
330	13262.42528
331	13251.4124
332	13241.57433
333	13234.17822
334	13226.94687
335	13220.71896
336	13212.94137
337	13203.56715
338	13190.65443
339	13182.66369
340	13174.54995
341	13170.7288
342	13160.36905
343	13151.17044
344	13148.52525
345	13141.15378
346	13136.06643
347	13134.74889
348	13128.41392
349	13123.89485
350	13114.86481
351	13104.88625
352	13096.55491
353	13087.30067
354	13078.50198
355	13068.99854
356	13057.64637
357	13054.19001
358	13046.184
359	13043.52663
360	13036.88398
361	13028.6556
362	13016.52192
363	13008.21618
364	13005.33406
365	13001.55158
366	12993.09929
367	12983.15258
368	12970.83874
369	12960.84608
370	12953.86148
371	12950.84064
372	12949.63701
373	12945.75934
374	12943.57464
375	12935.63667
376	12930.15241
377	12920.04034
378	12919.10617
379	12916.25561
380	12910.50592
381	12902.45007
382	12897.07793
383	12886.95244
384	12877.75454
385	12874.32541
386	12865.239
387	12859.47295
388	12853.2491
389	12846.64616
390	12840.74567
391	12832.59609
392	12830.80727
393	12822.80176
394	12814.53639
395	12809.51646
396	12804.10941
397	12790.68758
398	12783.32705
399	12770.68838
400	12764.53332
401	12754.465
402	12751.77084
403	12742.08133
404	12731.12134
405	12722.83641
406	12716.16266
407	12711.66002
408	12708.35343
409	12705.02835
410	12700.82806
411	12698.88158
412	12694.0932
413	12689.17586
414	12682.06131
415	12678.09171
416	12674.12276
417	12667.00518
418	12662.50842
419	12657.6347
420	12652.50744
421	12645.42736
422	12642.41143
423	12638.59832
424	12631.50353
425	12623.94013
426	12620.27881
427	12615.28585
428	12610.06793
429	12606.41743
430	12597.80164
431	12589.34189
432	12581.89419
433	12575.08331
434	12573.3059
435	12572.25822
436	12565.62032
437	12562.79683
438	12561.25052
439	12555.94517
440	12555.37119
441	12547.84297
442	12547.36102
443	12542.51854
444	12537.11282
445	12532.85115
446	12525.87626
447	12514.49185
448	12504.81804
449	12494.26278
450	12489.17729
451	12479.78787
452	12474.21838
453	12470.24832
454	12464.11234
455	12457.22811
456	12450.80938
457	12447.7455
458	12446.16907
459	12438.04685
460	12430.12483
461	12426.5262
462	12424.45189
463	12418.78238
464	12412.15777
465	12408.21046
466	12400.63601
467	12390.8651
468	12390.59628
469	12383.99351
470	12379.81337
471	12372.23359
472	12365.5151
473	12359.40345
474	12354.09109
475	12346.64657
476	12341.68011
477	12329.37921
478	12317.46508
479	12305.68622
480	12301.29413
481	12292.72579
482	12286.74682
483	12280.26315
484	12273.89136
485	12267.84726
486	12265.34269
487	12256.86388
488	12250.43055
489	12247.5786
490	12241.98539
491	12236.00983
492	12229.66647
493	12220.82308
494	12215.15477
495	12210.5207
496	12203.06351
497	12198.2042
498	12195.60868
499	12192.52319
500	12186.0623
501	12183.54264
502	12172.28993
503	12169.47751
504	12163.02271
505	12155.97262
506	12150.17186
507	12141.77315
508	12137.80051
509	12134.47162
510	12126.56923
511	12122.7237
512	12114.92852
513	12109.57455
514	12106.89219
515	12103.40621
516	12095.53607
517	12089.51275
518	12085.62723
519	12081.42174
520	12077.92378
521	12074.99887
522	12066.12544
523	12062.0703
524	12057.70486
525	12053.63911
526	12048.88743
527	12044.89095
528	12035.54226
529	12034.19652
530	12023.43294
531	12023.19543
532	12021.42182
533	12010.53693
534	12008.05534
535	12003.185
536	11999.66511
537	11989.57438
538	11984.72356
539	11976.74492
540	11974.40144
541	11971.90586
542	11968.68398
543	11963.98134
544	11960.37897
545	11955.96733
546	11952.57241
547	11950.47014
548	11939.44533
549	11932.40324
550	11929.73055
551	11923.91107
552	11921.86656
553	11917.84998
554	11914.26636
555	11910.18964
556	11904.56827
557	11900.96813
558	11896.03067
559	11893.30974
560	11891.61794
561	11887.39735
562	11884.92604
563	11878.7931
564	11873.74914
565	11866.81101
566	11862.34448
567	11857.13315
568	11853.09678
569	11848.84824
570	11844.41742
571	11834.71409
572	11830.89209
573	11823.62795
574	11819.79532
575	11812.07712
576	11808.76388
577	11798.99555
578	11794.15394
579	11788.57072
580	11785.12497
581	11782.36322
582	11772.58147
583	11766.20987
584	11763.48845
585	11755.28562
586	11751.72085
587	11744.27325
588	11737.38777
589	11731.65313
590	11722.24592
591	11716.58759
592	11713.74704
593	11709.0518
594	11703.03316
595	11701.25018
596	11692.62529
597	11689.64878
598	11682.28326
599	11677.62047
600	11673.04781
601	11666.89271
602	11662.49506
603	11658.69244
604	11651.48826
605	11644.09807
606	11640.637
607	11639.31146
608	11630.71451
609	11624.20535
610	11620.55972
611	11617.59695
612	11611.56723
613	11608.52226
614	11604.92715
615	11596.66154
616	11591.07937
617	11585.58673
618	11582.05127
619	11577.97632
620	11572.24519
621	11566.89294
622	11562.59047
623	11561.07
624	11552.43762
625	11548.8994
626	11544.12628
627	11541.01051
628	11536.38228
629	11531.6656
630	11526.10796
631	11522.66974
632	11514.26363
633	11509.32088
634	11509.272
635	11507.55521
636	11500.185
637	11497.05148
638	11490.5865
639	11479.54833
640	11476.01941
641	11474.57397
642	11472.97663
643	11467.82058
644	11464.19925
645	11462.16113
646	11461.98268
647	11456.77864
648	11451.86273
649	11445.72676
650	11440.2736
651	11433.38059
652	11432.11258
653	11425.45675
654	11421.93614
655	11415.64182
656	11409.62975
657	11403.22483
658	11397.12911
659	11390.87715
660	11384.68242
661	11375.26759
662	11369.91297
663	11365.43626
664	11361.45494
665	11359.40156
666	11353.34421
667	11345.47878
668	11341.93533
669	11338.0422
670	11332.40883
671	11330.35016
672	11326.15891
673	11322.87553
674	11319.30882
675	11314.88004
676	11309.06635
677	11303.14823
678	11299.9658
679	11295.90256
680	11287.11241
681	11281.38769
682	11279.02443
683	11276.07011
684	11274.01896
685	11273.95005
686	11269.4294
687	11261.44036
688	11259.64748
689	11258.47116
690	11253.37366
691	11250.10478
692	11245.16674
693	11241.08594
694	11236.83552
695	11228.61039
696	11223.59875
697	11219.69346
698	11212.86345
699	11206.41656
700	11202.66999
701	11200.07581
702	11200.03143
703	11196.81685
704	11190.68574
705	11186.02799
706	11183.93625
707	11179.98004
708	11179.47029
709	11176.85417
710	11173.33966
711	11170.83153
712	11165.20068
713	11161.28219
714	11156.99681
715	11152.7116
716	11148.20569
717	11147.03177
718	11141.99056
719	11140.83381
720	11137.67035
721	11133.98937
722	11127.39781
723	11126.39468
724	11123.38933
725	11116.43676
726	11109.71259
727	11104.74449
728	11103.73699
729	11099.28395
730	11090.83306
731	11089.08529
732	11084.7263
733	11079.41823
734	11075.23013
735	11074.23271
736	11067.60098
737	11066.1622
738	11061.88861
739	11054.82806
740	11050.33927
741	11044.91426
742	11042.17087
743	11036.55803
744	11034.11718
745	11028.1524
746	11023.4229
747	11019.80263
748	11014.12452
749	11011.66352
750	11008.87899
751	11005.03084
752	11000.95459
753	10999.26358
754	10995.0703
755	10991.10696
756	10987.56708
757	10982.27138
758	10979.93911
759	10977.21578
760	10972.46103
761	10966.57895
762	10961.52293
763	10958.50094
764	10952.80651
765	10951.72039
766	10948.53922
767	10944.79683
768	10941.74516
769	10937.06285
770	10934.9448
771	10932.02083
772	10928.81739
773	10922.72098
774	10918.40425
775	10913.57443
776	10911.0028
777	10908.73897
778	10907.98457
779	10905.76652
780	10902.6409
781	10898.48755
782	10893.16479
783	10890.94555
784	10886.28433
785	10883.00865
786	10880.94102
787	10878.92369
788	10876.66406
789	10870.07092
790	10866.13489
791	10861.83449
792	10857.24771
793	10852.18746
794	10850.95478
795	10847.19635
796	10839.74756
797	10837.19629
798	10833.63825
799	10830.851
800	10827.8816
801	10822.96178
802	10818.7979
803	10813.87751
804	10809.73371
805	10807.18526
806	10802.65465
807	10797.30796
808	10794.20387
809	10789.27787
810	10783.9917
811	10782.20057
812	10780.18085
813	10777.81782
814	10773.10472
815	10768.3834
816	10761.3156
817	10755.6764
818	10753.07382
819	10750.80327
820	10746.11795
821	10743.82119
822	10741.24788
823	10739.35231
824	10737.04265
825	10734.00802
826	10729.96044
827	10724.51716
828	10721.92777
829	10719.41502
830	10714.25073
831	10710.10512
832	10705.74557
833	10698.75198
834	10694.80648
835	10691.02976
836	10687.36246
837	10685.76867
838	10680.712
839	10679.70156
840	10676.32918
841	10673.99922
842	10668.19193
843	10661.53369
844	10657.41663
845	10655.44945
846	10654.56949
847	10649.10832
848	10643.94581
849	10640.43358
850	10637.68766
851	10636.94419
852	10633.92635
853	10630.25602
854	10625.35156
855	10623.53946
856	10620.35053
857	10616.88758
858	10614.31656
859	10609.43804
860	10607.22904
861	10605.42923
862	10599.79337
863	10595.22705
864	10592.58619
865	10587.28653
866	10584.34682
867	10580.49242
868	10576.31265
869	10571.72336
870	10568.42774
871	10562.14723
872	10558.93261
873	10557.22409
874	10554.99497
875	10549.31767
876	10547.14181
877	10544.84774
878	10541.58286
879	10537.94879
880	10534.20626
881	10527.4818
882	10522.27768
883	10520.28346
884	10517.80326
885	10512.24547
886	10510.27421
887	10507.04698
888	10504.22622
889	10500.69178
890	10498.3394
891	10494.5222
892	10493.22478
893	10490.65428
894	10488.647
895	10487.74901
896	10483.05771
897	10479.59934
898	10478.12841
899	10472.47818
900	10469.65978
901	10464.25213
902	10460.05639
903	10458.74752
904	10454.76276
905	10451.48364
906	10448.26587
907	10447.43662
908	10442.06814
909	10436.72703
910	10434.38473
911	10431.75456
912	10427.74588
913	10423.69341
914	10419.87733
915	10415.42851
916	10411.72668
917	10407.11154
918	10401.21519
919	10395.82482
920	10390.88363
921	10388.18018
922	10384.31527
923	10382.42975
924	10379.29982
925	10375.02662
926	10371.54322
927	10368.36907
928	10364.34892
929	10360.06157
930	10358.03146
931	10353.95163
932	10350.30198
933	10345.13748
934	10342.46402
935	10337.58878
936	10335.46829
937	10331.46826
938	10328.30955
939	10324.9045
940	10319.27869
941	10317.39325
942	10316.12467
943	10313.30197
944	10311.16817
945	10308.19087
946	10303.19324
947	10300.01217
948	10297.43411
949	10294.933
950	10292.1321
951	10290.04677
952	10288.33966
953	10286.5562
954	10283.24616
955	10279.9425
956	10276.59969
957	10273.08827
958	10269.82267
959	10268.20931
960	10265.25648
961	10262.3652
962	10260.75743
963	10257.55611
964	10253.46058
965	10250.07221
966	10247.28498
967	10245.29495
968	10243.152
969	10240.90409
970	10238.50241
971	10235.15974
972	10230.97435
973	10227.82005
974	10223.40592
975	10221.92071
976	10219.68056
977	10216.74099
978	10215.75723
979	10213.8806
980	10212.04234
981	10210.53876
982	10206.30324
983	10203.47599
984	10201.03195
985	10196.95191
986	10194.32006
987	10190.71947
988	10186.05415
989	10185.23584
990	10177.00577
991	10174.3467
992	10168.71153
993	10166.53627
994	10160.83275
995	10158.02594
996	10150.48547
997	10148.44815
998	10147.7541
999	10147.53114
